issue,polviews,verb_ab,id,quest,answer,arg,counter_arg,exposure,belief_before,belief_now
abany,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|7|0,4|2|6|0|1,1,30,60
abany,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,3,1,30,40
abany,liberal,high,734,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,6|4,1,35,60
abany,liberal,high,358,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7|5,0|4,1,45,70
abany,liberal,high,501,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5,4,1,62,58
abany,liberal,high,709,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7|1|5,6|0,1,50,50
abany,liberal,high,54,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|7|5,0|4|6|3,1,30,44
abany,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,1,50,75
abany,liberal,high,955,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,6|0,5|7,1,15,45
abany,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|1|6|5,0|2|4|1|3|6,1,20,65
abany,liberal,high,889,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|6|0,4|3,1,10,40
abany,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,2|6|0|4|1,1,30,50
abany,liberal,high,536,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,1,1,10
abdefect,liberal,high,844,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0|1|7|5,0|1|3|4|6|5,0,30,50
abdefect,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|0|5|6|8,8,0,40,60
abdefect,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|5|1,6|0|3|4,0,10,30
abdefect,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0|5,4|6,1,15,40
abdefect,liberal,high,906,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1|8,6|0,0,55,73
abdefect,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|5|1|0,6|2,1,35,70
abdefect,liberal,high,885,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|1|0|7,5|4|2,0,25,55
abdefect,liberal,high,915,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|7,1|4|0,1,50,50
abdefect,liberal,high,263,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|7|0,6|4,0,10,50
abdefect,liberal,high,667,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,8,4,0,55,45
abdefect,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0|5|1,5|4|6,0,75,60
abdefect,liberal,high,20,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1,4,0,25,75
abdefect,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,1|4|0|6,7|5,0,40,75
abdefect,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5,6|0|1|4,0,10,70
abdefect,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,6|5|0,6|5|2|0|4|1,1,40,75
abdefect,liberal,high,924,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|0|6,4|3|1,0,10,25
abdefect,liberal,high,785,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|7|3|0|1,7|3|0|6|4|1,1,25,40
abdefect,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1|5,0|6|4,0,44,66
abdefect,liberal,high,536,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1,4,1,3,15
abdefect,liberal,high,172,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|5,4,1,40,75
abdefect,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,3|0|7|5,0|1|4|6,0,30,50
abdefect,liberal,high,151,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1,6,1,55,75
abdefect,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|6|5,6|4|0,1,40,60
abdefect,liberal,high,839,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0|3|6|5,2|7|1|4|3|6,0,10,50
abdefect,liberal,high,473,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,6|7,4|0|1,0,35,60
abdefect,liberal,high,209,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,7|6|5,4|6,0,20,50
abdefect,liberal,high,955,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,8,6|0,1,8,46
abdefect,liberal,high,545,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0|5,6|0|4|3,0,55,75
abdefect,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|6|0,6|0,1,55,60
abdefect,liberal,high,521,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5|0|6,5|3|6|4,1,30,50
abhlth,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,7,6,0,40,60
abhlth,liberal,high,559,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,8,6,1,45,65
abhlth,liberal,high,955,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,0,6,1,15,50
abhlth,liberal,high,414,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5,6|0|4,0,60,70
abhlth,liberal,high,521,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6|1|0|5,6|0|4,1,25,59
abhlth,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6|0|5|1,6|0|4|3|5|2|1,1,50,80
abhlth,liberal,high,536,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6,4,1,60,75
abhlth,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,3|0|6,4|6,1,50,70
abhlth,liberal,high,885,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,7|0|1|5,3|1|4,0,50,90
abhlth,liberal,high,534,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,8,8,0,50,80
abhlth,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,7|5|0|6|1|3,7|2|5|0|6|1|3|4,0,40,66
abhlth,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6,4,0,35,70
abhlth,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1|6,4,1,75,80
abhlth,liberal,high,785,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5|3|7|0|1,0|6|1|4,1,35,65
abhlth,liberal,high,808,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1,6,0,20,40
abhlth,liberal,high,734,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5|0|1,6|7|4,0,40,60
abhlth,liberal,high,501,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,8,4|8,1,55,55
abhlth,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1|5|7,4,0,45,50
abhlth,liberal,high,151,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,0,4,1,25,80
abhlth,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1|0|6,6,0,80,70
abhlth,liberal,high,906,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5|1,6|7,1,85,90
abhlth,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5|1|0,6|3|4,1,10,45
abhlth,liberal,high,925,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,5,6,0,50,50
abhlth,liberal,high,839,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6|1|5|3|0,2|6|1|3|0|4|7,0,85,50
abhlth,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6|0|3,4|8,1,60,45
abhlth,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6|1,6|4,1,15,50
abhlth,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,6,4,0,85,90
abhlth,liberal,high,575,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1,4,1,30,45
abhlth,liberal,high,375,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,1|5|6|0,3|6|4,0,30,75
abhlth,liberal,high,361,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,1,4|5|0,6,0,40,60
abnomore,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1,6|4,0,75,60
abnomore,liberal,high,463,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,8,6,0,30,30
abnomore,liberal,high,263,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1|0|7,3|1|4,0,30,50
abnomore,liberal,high,362,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1|7|5,0|4|3|1|6,1,55,70
abnomore,liberal,high,20,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,6,0,25,75
abnomore,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1|2,7,0,30,55
abnomore,liberal,high,734,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5|1,4|6,0,15,35
abnomore,liberal,high,885,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,0|5|1,6|1|3,0,5,55
abnomore,liberal,high,667,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,5,1,50,50
abnomore,liberal,high,798,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,8,8,1,45,35
abnomore,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,4,1,25,70
abnomore,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,0|7|1|5,6|2|4,0,30,75
abnomore,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5|1|7,4,1,15,45
abnomore,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,4,1,10,80
abnomore,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5|0,4,1,40,60
abnomore,liberal,high,568,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,0,6,5|1,0,70,40
abnomore,liberal,high,358,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5|0,6|0,1,55,70
abnomore,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,0,6|1,5,1,35,65
abnomore,liberal,high,785,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,7|5|0,3|4|0|6,1,20,35
abnomore,liberal,high,925,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,4,0,50,50
abnomore,liberal,high,54,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1|5,4|0|6|3,1,35,50
abnomore,liberal,high,414,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,0|5,4|6,0,40,60
abnomore,liberal,high,678,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,6|4,1,30,50
abnomore,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5|0|1,8,1,20,30
abnomore,liberal,high,831,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1,6|4|0,0,30,60
abnomore,liberal,high,228,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,4|6,0,50,40
abnomore,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,6|4|0,1,40,50
abnomore,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,1|5|0,4,1,30,75
abnomore,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,7|5|0|1,6|3|4|2|0|1,1,30,50
abnomore,liberal,high,955,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,1,5,4|0,1,10,60
abpoor,liberal,high,463,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,3|1|0,4,0,20,40
abpoor,liberal,high,803,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5,0,1,30,55
abpoor,liberal,high,906,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1|5,0|4,0,28,25
abpoor,liberal,high,734,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|1,4|0|7,0,15,30
abpoor,liberal,high,568,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,0,6,5,0,85,70
abpoor,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|1,4|6,0,40,65
abpoor,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5,7|1|4,0,30,70
abpoor,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|0,6|4,0,65,50
abpoor,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1,4|1,1,20,60
abpoor,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,4|1|6|2|0|7|5,4|1|6|2|0|7|5|3,1,30,60
abpoor,liberal,high,501,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|8,6|3|4,1,54,56
abpoor,liberal,high,127,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1|5,1|0|5,0,60,40
abpoor,liberal,high,678,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|7,4|6,1,40,55
abpoor,liberal,high,765,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,7,6,0,1,80
abpoor,liberal,high,20,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1,3,1,40,75
abpoor,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,5|1,7|4|6,1,15,45
abpoor,liberal,high,27,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1|5,6|4,0,15,70
abpoor,liberal,high,575,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,7,0,0,40,50
abpoor,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,0,6|4|1,5|7,1,65,65
abpoor,liberal,high,808,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,3,6,0,20,15
abpoor,liberal,high,831,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1,6|0|4,1,10,60
abpoor,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,7|5|3,0|6|4,1,40,60
abpoor,liberal,high,414,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0,6|5|4,1,40,65
abpoor,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,7|8,8,0,30,60
abpoor,liberal,high,753,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0,0,1,30,70
abpoor,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0,4,0,30,50
abpoor,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0|5|1|6,6,0,35,55
abpoor,liberal,high,844,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0|7|3|1|5,0|7|3|1|4|6|5,0,20,40
abpoor,liberal,high,51,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,0|5|7,0|5|3|7|4,0,1,40
abpoor,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,1,1|0,6|3|4|5,0,35,55
abrape,liberal,high,808,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,0,5,1,25,45
abrape,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,7|3|5|1,4|3|6|2|0|1,1,70,60
abrape,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,0|5|7|1|4,3|6,1,25,65
abrape,liberal,high,915,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|0|7,3|4|0|6|7,1,40,70
abrape,liberal,high,906,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1|0|5,4|0|6,0,60,75
abrape,liberal,high,734,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1|0,7|6|4,0,60,60
abrape,liberal,high,350,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,6,5,1,10,90
abrape,liberal,high,209,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,7|0|5|1,7|3|4|1,1,50,40
abrape,liberal,high,925,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|0,6|5|3|4,0,50,50
abrape,liberal,high,321,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5,4,0,50,65
abrape,liberal,high,72,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1,1,0,80,90
abrape,liberal,high,785,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|0|6,0|3|4|6,1,25,50
abrape,liberal,high,29,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|0|6,4|6,0,50,75
abrape,liberal,high,611,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,0|5,4,0,40,80
abrape,liberal,high,358,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|0|4|1,2|8,0,55,85
abrape,liberal,high,667,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,8,6,1,20,80
abrape,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,0,0|1|4|6,5|0|1,1,20,80
abrape,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1|0|5,6,0,80,70
abrape,liberal,high,709,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|1,6|4,1,65,65
abrape,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,0|6|5,4,1,50,60
abrape,liberal,high,764,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,3,4,1,25,45
abrape,liberal,high,166,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5|7|0|1|3,5|4|0|1|6|3,1,60,85
abrape,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1|5,6|0|4,1,70,30
abrape,liberal,high,798,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1,8,1,40,70
abrape,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1|0,4|3|6|1,1,15,40
abrape,liberal,high,534,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,1,4,0,5,40
abrape,liberal,high,877,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,5,0|6|4,1,40,60
abrape,liberal,high,839,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,6|1|3|0|5,6|1|2|7|3|4|0,0,35,60
abrape,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,7|0|1,3|4,0,35,65
abrape,liberal,high,501,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,1,7|0|5,3|4|1|6,0,47,51
absingle,liberal,high,51,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,5,4|1|0,1,20,60
absingle,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,1|0,6,0,75,55
absingle,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,5|1|0,7|4,1,15,50
absingle,liberal,high,20,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,8,4,1,25,80
absingle,liberal,high,270,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,7|1,3|4|6|0,1,25,55
absingle,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,5,4|0,0,20,70
absingle,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,5|3|1,4|7,0,40,70
absingle,liberal,high,89,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,1,7|5,1|3|4|6|2|0|5,0,40,50
